activity_id,deal_id,activity_type,activity_date,notes
A00036,D0465,Call,,"Thanks so much for the quick turnaround, this looks great!"
A00037,D0308,Call,N/A,"This is taking longer than expected, we need an update ASAP."
A00038,D0394,,,Following up on our last conversation regarding pricing.
A00039,D0546,call,2026-06-17,We may have to look at other vendors if this isn't resolved.
A00040,D0624,Meeting,31-03-2026,Following up on our last conversation regarding pricing.
A00041,D0850,Follow Up,13/07/2026,"Thanks so much for the quick turnaround, this looks great!"
A00042,D0739,meeting,2026/02/23,"Not happy with the delay, please escalate."
A00043,D0788,follow-up,28/12/2025,"Not happy with the delay, please escalate."
A00044,D0136,call,01-01-2026,"Really appreciate the detailed proposal, excited to move forward."
A00045,D0303,Meeting,2026-05-24,Please find attached the requested documents.
A00046,D0802,Follow Up,,Please find attached the requested documents.
A00047,D0271,EMAIL,2026-05-10,
A00048,D0368,,2025/12/09,Following up on our last conversation regarding pricing.
A00049,D0082,meeting,2026/05/20,Can we schedule a call sometime next week?
A00050,D0265,meeting,10/05/2026,"  Great call today, looking forward to next steps.   "
A00051,D0893,Follow Up,02/24/2026,"Really appreciate the detailed proposal, excited to move forward."
A00052,D0519,,2025-11-15,
A00053,D0732,meeting,2025-11-29,
A00054,D0241,Meeting,2026/04/08,
A00055,D0209,Meeting,11/03/2026,"Really appreciate the detailed proposal, excited to move forward."
A00056,D0147,call,12-04-2026,Can we schedule a call sometime next week?
A00057,D0384,,13-12-2025,
A00058,D0154,Follow Up,,Following up on our last conversation regarding pricing.
A00059,D0800,follow-up,09-12-2025,Following up on our last conversation regarding pricing.
A00060,D0673,EMAIL,2026-01-06,"Really appreciate the detailed proposal, excited to move forward."
A00061,D0579,follow-up,2025/11/03,"This is taking longer than expected, we need an update ASAP."
A00062,D0900,follow-up,2026/06/16,"Not happy with the delay, please escalate."
A00063,D0325,meeting,2026/02/22,Please find attached the requested documents.
A00064,D0819,Meeting,29-05-2026,"Really appreciate the detailed proposal, excited to move forward."
A00065,D0661,note,09-03-2026,We may have to look at other vendors if this isn't resolved.
A00066,D0670,,08/12/2025,"  This is taking longer than expected, we need an update ASAP.   "
A00067,D0129,follow-up,24/03/2026,"Great call today, looking forward to next steps."
A00068,D0350,Meeting,18/07/2026,"This is taking longer than expected, we need an update ASAP."
A00069,D0507,email,09/03/2026,"thanks so much for the quick turnaround, this looks great!"
A00070,D0784,follow-up,17/05/2026,
A00071,D0442,call,2026-03-02,"Great call today, looking forward to next steps."
A00072,D0398,note,26/04/2026,  We may have to look at other vendors if this isn't resolved.   
A00073,D0345,Meeting,2025/11/04,
A00074,D0757,Meeting,01/12/2025,"Not happy with the delay, please escalate."
A00075,D0776,,11/16/2025,WE MAY HAVE TO LOOK AT OTHER VENDORS IF THIS ISN'T RESOLVED.
A00076,D0608,Follow Up,25/04/2026,"This is taking longer than expected, we need an update ASAP."
A00077,D0740,Follow Up,2026-04-14,Following up on our last conversation regarding pricing.
A00078,D0578,follow-up,2025/12/18,We may have to look at other vendors if this isn't resolved.
A00079,D0331,note,12/14/2025,"GREAT CALL TODAY, LOOKING FORWARD TO NEXT STEPS."
A00080,D0386,email,17-02-2026,CAN WE SCHEDULE A CALL SOMETIME NEXT WEEK?
A00081,D0122,meeting,24/02/2026,Following up on our last conversation regarding pricing.
A00082,D0266,Follow Up,07/18/2026,please find attached the requested documents.
A00083,D0859,follow-up,2026-03-04,"Thanks so much for the quick turnaround, this looks great!"
A00084,D0819,email,,"Thanks so much for the quick turnaround, this looks great!"
A00085,D0585,note,2026/01/10,"Great call today, looking forward to next steps."
A00086,D0113,Call,06/04/2026,"Not happy with the delay, please escalate."
A00087,D0286,Call,2026-01-23,Following up on our last conversation regarding pricing.
A00088,D0520,Meeting,2026/01/01,"Really appreciate the detailed proposal, excited to move forward."
A00089,D0040,note,2026/07/13,can we schedule a call sometime next week?
A00090,D0858,call,2026-01-13,following up on our last conversation regarding pricing.
A00091,D0226,email,11/25/2025,"Not happy with the delay, please escalate."
A00092,D0290,EMAIL,2026-02-11,We may have to look at other vendors if this isn't resolved.
A00093,D0004,note,N/A,We may have to look at other vendors if this isn't resolved.
A00094,D0040,note,2026/05/23,"This is taking longer than expected, we need an update ASAP."
A00095,D0358,,02/18/2026,Please find attached the requested documents.
A00096,D0685,,15/11/2025,Can we schedule a call sometime next week?
A00097,D0225,Call,15-02-2026,"This is taking longer than expected, we need an update ASAP."
A00098,D0679,note,13/06/2026,Can we schedule a call sometime next week?
A00099,D0408,EMAIL,25/07/2026,"Not happy with the delay, please escalate."
A00100,D0030,meeting,04/15/2026,"THIS IS TAKING LONGER THAN EXPECTED, WE NEED AN UPDATE ASAP."
A00101,D0268,Meeting,21/11/2025,"This is taking longer than expected, we need an update ASAP."
A00102,D0275,,09-05-2026,"Thanks so much for the quick turnaround, this looks great!"
A00103,D0587,EMAIL,2026-03-11,can we schedule a call sometime next week?
A00104,D0740,call,2026-04-28,Can we schedule a call sometime next week?
A00105,D0567,Call,2026/02/19,Following up on our last conversation regarding pricing.
A00106,D0161,follow-up,02/12/2026,Please find attached the requested documents.
A00107,D0340,note,11/15/2025,
A00108,D0540,Call,10/02/2026,"thanks so much for the quick turnaround, this looks great!"
A00109,D0236,email,,"Really appreciate the detailed proposal, excited to move forward."
A00110,D0411,EMAIL,13-01-2026,"REALLY APPRECIATE THE DETAILED PROPOSAL, EXCITED TO MOVE FORWARD."
A00111,D0721,note,,We may have to look at other vendors if this isn't resolved.
A00112,D0754,Follow Up,02/07/2026,Please find attached the requested documents.
A00113,D0762,call,01/06/2026,FOLLOWING UP ON OUR LAST CONVERSATION REGARDING PRICING.
A00114,D0591,,31/01/2026,"  Really appreciate the detailed proposal, excited to move forward.   "
A00115,D0286,,2026/01/05,
A00116,D0509,note,2025/12/15,"Really appreciate the detailed proposal, excited to move forward."
A00117,D0026,note,29/11/2025,Can we schedule a call sometime next week?
A00118,D0319,Meeting,2025-12-28,"Really appreciate the detailed proposal, excited to move forward."
A00119,D0502,Follow Up,11/03/2025,"This is taking longer than expected, we need an update ASAP."
A00120,D0741,Follow Up,2026-07-07,"Not happy with the delay, please escalate."
A00121,D0346,EMAIL,,"This is taking longer than expected, we need an update ASAP."
A00122,D0215,follow-up,2025/12/25,"Not happy with the delay, please escalate."
A00123,D0330,,2026/07/12,We may have to look at other vendors if this isn't resolved.
A00124,D0084,Call,2026-01-05,
A00125,D0533,Call,23/11/2025,"REALLY APPRECIATE THE DETAILED PROPOSAL, EXCITED TO MOVE FORWARD."
A00126,D0175,follow-up,2026/04/05,"This is taking longer than expected, we need an update ASAP."
A00127,D0446,meeting,12-11-2025,We may have to look at other vendors if this isn't resolved.
A00128,D0578,EMAIL,2026/07/28,Following up on our last conversation regarding pricing.
A00129,D0381,follow-up,13/03/2026,"  Not happy with the delay, please escalate.   "
A00130,D0765,EMAIL,13/11/2025,"Thanks so much for the quick turnaround, this looks great!"
A00131,D0482,Call,2025-11-26,Please find attached the requested documents.
A00132,D0097,follow-up,2026-01-24,"Thanks so much for the quick turnaround, this looks great!"
A00133,D0069,Meeting,07/27/2026,Can we schedule a call sometime next week?
A00134,D0282,meeting,25/05/2026,Please find attached the requested documents.
A00135,D0261,follow-up,07/21/2026,"Really appreciate the detailed proposal, excited to move forward."
A00136,D0222,meeting,2026/03/17,"really appreciate the detailed proposal, excited to move forward."
A00137,D0661,note,2026/01/25,Please find attached the requested documents.
A00138,D0631,,2026-02-15,
A00139,D0823,Follow Up,02/05/2026,"Not happy with the delay, please escalate."
A00140,D0332,call,06/12/2025,"This is taking longer than expected, we need an update ASAP."
A00141,D0513,Call,04/05/2026,"This is taking longer than expected, we need an update ASAP."
A00142,D0364,meeting,30-01-2026,WE MAY HAVE TO LOOK AT OTHER VENDORS IF THIS ISN'T RESOLVED.
A00143,D0220,EMAIL,03-07-2026,"Great call today, looking forward to next steps."
A00144,D0502,meeting,2026/03/18,"This is taking longer than expected, we need an update ASAP."
A00145,D0887,Meeting,18-03-2026,"  This is taking longer than expected, we need an update ASAP.   "
A00146,D0196,note,2026-05-31,Following up on our last conversation regarding pricing.
A00147,D0006,Follow Up,2025-11-07,Can we schedule a call sometime next week?
A00148,D0014,Follow Up,06-06-2026,"Not happy with the delay, please escalate."
A00149,D0722,meeting,2026-03-11,"Thanks so much for the quick turnaround, this looks great!"
A00150,D0623,,26/06/2026,
A00151,D0030,Follow Up,11/10/2025,"Great call today, looking forward to next steps."
A00152,D0430,Call,N/A,"Thanks so much for the quick turnaround, this looks great!"
A00153,D0285,email,2026-05-06,Can we schedule a call sometime next week?
A00154,D0325,EMAIL,2025/11/22,Can we schedule a call sometime next week?
A00155,D0413,note,2026-04-20,"really appreciate the detailed proposal, excited to move forward."
A00156,D0152,meeting,19/07/2026,"Thanks so much for the quick turnaround, this looks great!"
A00157,D0518,note,2026-01-02,Please find attached the requested documents.
A00158,D0350,,2025-12-29,"NOT HAPPY WITH THE DELAY, PLEASE ESCALATE."
A00159,D0187,Call,2026/05/06,"Thanks so much for the quick turnaround, this looks great!"
A00160,D0223,Meeting,12/09/2025,Please find attached the requested documents.
A00161,D0886,email,05/16/2026,PLEASE FIND ATTACHED THE REQUESTED DOCUMENTS.
A00162,D0183,meeting,30-07-2026,"  This is taking longer than expected, we need an update ASAP.   "
A00163,D0484,email,17-03-2026,Please find attached the requested documents.
A00164,D0502,Meeting,30-07-2026,We may have to look at other vendors if this isn't resolved.
A00165,D0852,EMAIL,,"this is taking longer than expected, we need an update asap."
A00166,D0720,note,23-03-2026,Following up on our last conversation regarding pricing.
A00167,D0565,meeting,05/29/2026,  Please find attached the requested documents.   
A00168,D0119,follow-up,03/03/2026,"not happy with the delay, please escalate."
A00169,D0382,Follow Up,2025/12/06,"Thanks so much for the quick turnaround, this looks great!"
A00170,D0368,call,19/01/2026,Can we schedule a call sometime next week?
A00171,D0192,Meeting,20/04/2026,
A00172,D0829,Follow Up,2026/07/15,"This is taking longer than expected, we need an update ASAP."
A00173,D0250,meeting,2025/11/11,Can we schedule a call sometime next week?
A00174,D0042,email,2026/05/14,"Really appreciate the detailed proposal, excited to move forward."
A00175,D0592,note,05/06/2026,we may have to look at other vendors if this isn't resolved.
A00176,D0612,follow-up,2026/01/05,"great call today, looking forward to next steps."
A00177,D0056,Call,07/31/2026,Can we schedule a call sometime next week?
A00178,D0001,EMAIL,04/15/2026,Please find attached the requested documents.
A00179,D0879,email,07/20/2026,"Great call today, looking forward to next steps."
A00180,D0384,call,04-04-2026,"Really appreciate the detailed proposal, excited to move forward."
A00181,D0716,email,30/07/2026,"Not happy with the delay, please escalate."
A00182,D0099,note,11/27/2025,"This is taking longer than expected, we need an update ASAP."
A00183,D0840,note,2025/11/04,"Really appreciate the detailed proposal, excited to move forward."
A00184,D0601,call,2026/05/29,"Great call today, looking forward to next steps."
A00185,D0349,follow-up,2026/01/24,"This is taking longer than expected, we need an update ASAP."
A00186,D0142,,06/26/2026,Please find attached the requested documents.
A00187,D0670,EMAIL,06-06-2026,Please find attached the requested documents.
A00188,D0036,meeting,03/07/2026,"great call today, looking forward to next steps."
A00189,D0855,Call,2026-03-17,Can we schedule a call sometime next week?
A00190,D0884,note,2026-03-05,"Great call today, looking forward to next steps."
A00191,D0394,,,
A00192,D0436,meeting,2026-01-20,"Not happy with the delay, please escalate."
A00193,D0730,Meeting,19-11-2025,"Really appreciate the detailed proposal, excited to move forward."
A00194,D0545,note,2026-04-07,"GREAT CALL TODAY, LOOKING FORWARD TO NEXT STEPS."
A00195,D0725,Follow Up,2026/02/05,"Not happy with the delay, please escalate."
A00196,D0041,Call,20/11/2025,CAN WE SCHEDULE A CALL SOMETIME NEXT WEEK?
A00197,D0379,meeting,14-05-2026,"Thanks so much for the quick turnaround, this looks great!"
A00198,D0366,note,,
A00199,D0115,Meeting,2026/07/28,
A00200,D0097,EMAIL,26/07/2026,"This is taking longer than expected, we need an update ASAP."
A00201,D0470,Follow Up,2026/05/28,"NOT HAPPY WITH THE DELAY, PLEASE ESCALATE."
A00202,D0040,EMAIL,2026-03-01,"This is taking longer than expected, we need an update ASAP."
A00203,D0346,meeting,2026-07-11,"Great call today, looking forward to next steps."
A00204,D0669,Call,15/07/2026,"Really appreciate the detailed proposal, excited to move forward."
A00205,D0311,Follow Up,07/24/2026,"Thanks so much for the quick turnaround, this looks great!"
A00206,D0779,note,03/14/2026,
A00207,D0409,EMAIL,08-02-2026,
A00208,D0425,EMAIL,18/01/2026,CAN WE SCHEDULE A CALL SOMETIME NEXT WEEK?
A00209,D0727,Meeting,2026/02/20,Please find attached the requested documents.
A00210,D0472,Follow Up,2026/04/19,Can we schedule a call sometime next week?
A00211,D0572,call,05-05-2026,Can we schedule a call sometime next week?
A00212,D0875,,03/01/2026,
A00213,D0873,Follow Up,20/03/2026,
A00214,D0766,follow-up,20-04-2026,Can we schedule a call sometime next week?
A00215,D0160,Follow Up,2026/01/25,Can we schedule a call sometime next week?
A00216,D0784,call,23-11-2025,We may have to look at other vendors if this isn't resolved.
A00217,D0385,follow-up,2026/02/21,"REALLY APPRECIATE THE DETAILED PROPOSAL, EXCITED TO MOVE FORWARD."
A00218,D0114,Follow Up,03/03/2026,"This is taking longer than expected, we need an update ASAP."
A00219,D0223,note,28-06-2026,Can we schedule a call sometime next week?
A00220,D0681,Meeting,2026/07/29,"  This is taking longer than expected, we need an update ASAP.   "
A00221,D0775,,12/11/2025,"Great call today, looking forward to next steps."
A00222,D0296,call,26-07-2026,"Not happy with the delay, please escalate."
A00223,D0101,note,16/11/2025,"This is taking longer than expected, we need an update ASAP."
A00224,D0634,email,2026/06/04,We may have to look at other vendors if this isn't resolved.
A00225,D0750,note,11-05-2026,following up on our last conversation regarding pricing.
A00226,D0701,Call,2026-04-03,"This is taking longer than expected, we need an update ASAP."
A00227,D0871,EMAIL,12/12/2025,"Great call today, looking forward to next steps."
A00228,D0205,Meeting,2025-11-29,"  Thanks so much for the quick turnaround, this looks great!   "
A00229,D0251,Follow Up,02/11/2026,"Great call today, looking forward to next steps."
A00230,D0114,Follow Up,04/05/2026,Following up on our last conversation regarding pricing.
A00231,D0008,call,22/06/2026,We may have to look at other vendors if this isn't resolved.
A00232,D0073,note,2025/12/31,"Really appreciate the detailed proposal, excited to move forward."
A00233,D0547,call,2026-06-27,Please find attached the requested documents.
A00234,D0743,call,2026/05/02,"Not happy with the delay, please escalate."
A00235,D0150,meeting,2026/02/04,"Really appreciate the detailed proposal, excited to move forward."
A00236,D0673,Meeting,03/08/2026,
A00237,D0658,Call,27/03/2026,Following up on our last conversation regarding pricing.
A00238,D0706,,12/06/2026,Please find attached the requested documents.
A00239,D0780,EMAIL,30-11-2025,"  Thanks so much for the quick turnaround, this looks great!   "
A00240,D0372,meeting,12/19/2025,Please find attached the requested documents.
A00241,D0302,EMAIL,11/30/2025,"Great call today, looking forward to next steps."
A00242,D0264,email,,Following up on our last conversation regarding pricing.
A00243,D0013,meeting,2026/02/17,We may have to look at other vendors if this isn't resolved.
A00244,D0175,Meeting,2026/02/27,We may have to look at other vendors if this isn't resolved.
A00245,D0887,,2026/02/18,"not happy with the delay, please escalate."
A00246,D0015,Call,18-11-2025,  Following up on our last conversation regarding pricing.   
A00247,D0797,Call,02-02-2026,"Not happy with the delay, please escalate."
A00248,D0013,follow-up,04/15/2026,Can we schedule a call sometime next week?
A00249,D0102,Meeting,28-12-2025,We may have to look at other vendors if this isn't resolved.
A00250,D0551,Call,2026-05-22,"Not happy with the delay, please escalate."
A00251,D0263,EMAIL,12/01/2025,Following up on our last conversation regarding pricing.
A00252,D0042,Follow Up,05-03-2026,"Really appreciate the detailed proposal, excited to move forward."
A00253,D0066,EMAIL,2026-03-29,  Following up on our last conversation regarding pricing.   
A00254,D0596,,2026/07/18,"Thanks so much for the quick turnaround, this looks great!"
A00255,D0202,,2025-12-10,"not happy with the delay, please escalate."
A00256,D0221,Follow Up,2025/12/28,"Thanks so much for the quick turnaround, this looks great!"
A00257,D0115,,04/05/2026,"Not happy with the delay, please escalate."
A00258,D0417,Follow Up,07/28/2026,Can we schedule a call sometime next week?
A00259,D0661,meeting,2026/05/31,Following up on our last conversation regarding pricing.
A00260,D0516,meeting,2025-11-17,"Great call today, looking forward to next steps."
A00261,D0522,,06/09/2026,"Really appreciate the detailed proposal, excited to move forward."
A00262,D0097,,2026/06/04,"great call today, looking forward to next steps."
A00263,D0238,email,26-07-2026,Can we schedule a call sometime next week?
A00264,D0702,meeting,12/28/2025,"Great call today, looking forward to next steps."
A00265,D0406,EMAIL,2025/12/28,"Great call today, looking forward to next steps."
A00266,D0486,Follow Up,06-11-2025,Following up on our last conversation regarding pricing.
A00267,D0877,meeting,27-05-2026,Can we schedule a call sometime next week?
A00268,D0323,,2026/02/24,
A00269,D0414,call,08-01-2026,"Great call today, looking forward to next steps."
A00270,D0020,email,18-12-2025,
A00271,D0438,note,2025/12/09,Following up on our last conversation regarding pricing.
A00272,D0451,meeting,01/14/2026,"Great call today, looking forward to next steps."
A00273,D0739,Follow Up,2025-11-22,"This is taking longer than expected, we need an update ASAP."
A00274,D0499,email,2026/06/27,
A00275,D0351,meeting,04/03/2026,please find attached the requested documents.
A00276,D0768,Call,23/02/2026,"Great call today, looking forward to next steps."
A00277,D0588,email,29/12/2025,Following up on our last conversation regarding pricing.
A00278,D0677,meeting,03-07-2026,"thanks so much for the quick turnaround, this looks great!"
A00279,D0892,Meeting,20-12-2025,"Not happy with the delay, please escalate."
A00280,D0329,,15-11-2025,can we schedule a call sometime next week?
A00281,D0266,meeting,2026-07-03,"great call today, looking forward to next steps."
A00282,D0406,,2026/02/25,"Thanks so much for the quick turnaround, this looks great!"
A00283,D0017,Follow Up,2026-07-22,We may have to look at other vendors if this isn't resolved.
A00284,D0552,,20-01-2026,"Really appreciate the detailed proposal, excited to move forward."
A00285,D0572,Call,2025/12/24,"Really appreciate the detailed proposal, excited to move forward."
A00286,D0666,email,16/07/2026,Please find attached the requested documents.
A00287,D0757,EMAIL,2026-03-12,"Great call today, looking forward to next steps."
A00288,D0541,note,27/03/2026,PLEASE FIND ATTACHED THE REQUESTED DOCUMENTS.
A00289,D0020,call,03/06/2026,"Great call today, looking forward to next steps."
A00290,D0691,Meeting,07/22/2026,Can we schedule a call sometime next week?
A00291,D0591,EMAIL,02/28/2026,Following up on our last conversation regarding pricing.
A00292,D0547,Follow Up,2026-07-08,"Great call today, looking forward to next steps."
A00293,D0336,Meeting,04/05/2026,Following up on our last conversation regarding pricing.
A00294,D0278,email,06/13/2026,CAN WE SCHEDULE A CALL SOMETIME NEXT WEEK?
A00295,D0451,Call,03/04/2026,"Thanks so much for the quick turnaround, this looks great!"
A00296,D0758,email,03/07/2026,"Not happy with the delay, please escalate."
A00297,D0390,Follow Up,2025-12-24,"Great call today, looking forward to next steps."
A00298,D0529,Call,05/17/2026,"Really appreciate the detailed proposal, excited to move forward."
A00299,D0367,Meeting,04/07/2026,"Really appreciate the detailed proposal, excited to move forward."
A00300,D0262,follow-up,10/12/2025,"THANKS SO MUCH FOR THE QUICK TURNAROUND, THIS LOOKS GREAT!"
A00301,D0410,Call,01-05-2026,"Really appreciate the detailed proposal, excited to move forward."
A00302,D0308,email,2026-06-14,
A00303,D0282,Meeting,,
A00304,D0532,EMAIL,14/06/2026,"THANKS SO MUCH FOR THE QUICK TURNAROUND, THIS LOOKS GREAT!"
A00305,D0888,meeting,20/05/2026,"Great call today, looking forward to next steps."
A00306,D0532,EMAIL,11/04/2025,Can we schedule a call sometime next week?
A00307,D0167,call,03-07-2026,"This is taking longer than expected, we need an update ASAP."
A00308,D0272,Follow Up,2026-07-14,CAN WE SCHEDULE A CALL SOMETIME NEXT WEEK?
A00309,D0753,EMAIL,2026-03-17,We may have to look at other vendors if this isn't resolved.
A00310,D0538,EMAIL,2026-01-26,
A00311,D0068,Call,05/06/2026,"This is taking longer than expected, we need an update ASAP."
A00312,D0138,Follow Up,2026-05-04,Please find attached the requested documents.
A00313,D0264,EMAIL,2026/01/11,Can we schedule a call sometime next week?
A00314,D0099,,2026/05/17,following up on our last conversation regarding pricing.
A00315,D0825,EMAIL,2026-07-29,"Really appreciate the detailed proposal, excited to move forward."
A00316,D0630,Call,16-07-2026,"Great call today, looking forward to next steps."
A00317,D0728,,2026/06/23,We may have to look at other vendors if this isn't resolved.
A00318,D0779,EMAIL,23-04-2026,"Great call today, looking forward to next steps."
A00319,D0036,note,04/24/2026,"GREAT CALL TODAY, LOOKING FORWARD TO NEXT STEPS."
A00320,D0856,email,07-04-2026,"Thanks so much for the quick turnaround, this looks great!"
A00321,D0353,email,2025/11/10,"This is taking longer than expected, we need an update ASAP."
A00322,D0637,meeting,2026-05-23,Please find attached the requested documents.
A00323,D0346,Meeting,12/21/2025,Please find attached the requested documents.
A00324,D0791,follow-up,2026-05-10,Can we schedule a call sometime next week?
A00325,D0801,Meeting,2026-05-31,we may have to look at other vendors if this isn't resolved.
A00326,D0469,Call,14-04-2026,"Great call today, looking forward to next steps."
A00327,D0447,follow-up,2025-12-29,we may have to look at other vendors if this isn't resolved.
A00328,D0675,follow-up,12/27/2025,"thanks so much for the quick turnaround, this looks great!"
A00329,D0539,Follow Up,2025/12/22,We may have to look at other vendors if this isn't resolved.
A00330,D0372,follow-up,2026/05/05,"Great call today, looking forward to next steps."
A00331,D0170,Follow Up,07/20/2026,We may have to look at other vendors if this isn't resolved.
A00332,D0879,email,09/02/2026,Please find attached the requested documents.
A00333,D0432,,02/08/2026,PLEASE FIND ATTACHED THE REQUESTED DOCUMENTS.
A00334,D0570,meeting,2026/01/22,"REALLY APPRECIATE THE DETAILED PROPOSAL, EXCITED TO MOVE FORWARD."
A00335,D0148,,01/23/2026,"This is taking longer than expected, we need an update ASAP."
A00336,D0401,Follow Up,12-06-2026,"  Really appreciate the detailed proposal, excited to move forward.   "
A00337,D0144,note,2025/12/04,"  Great call today, looking forward to next steps.   "
A00338,D0283,Meeting,,"Really appreciate the detailed proposal, excited to move forward."
A00339,D0791,Follow Up,01/08/2026,Please find attached the requested documents.
A00340,D0625,,21-02-2026,
A00341,D0859,meeting,04/02/2026,"This is taking longer than expected, we need an update ASAP."
A00342,D0709,,06/15/2026,we may have to look at other vendors if this isn't resolved.
A00343,D0618,Follow Up,02/25/2026,"Not happy with the delay, please escalate."
A00344,D0432,call,25-07-2026,Please find attached the requested documents.
A00345,D0337,note,31-01-2026,CAN WE SCHEDULE A CALL SOMETIME NEXT WEEK?
A00346,D0826,,12/07/2026,Following up on our last conversation regarding pricing.
A00347,D0107,,2026/03/06,"This is taking longer than expected, we need an update ASAP."
A00348,D0684,note,,"Really appreciate the detailed proposal, excited to move forward."
A00349,D0101,Follow Up,03/31/2026,Can we schedule a call sometime next week?
A00350,D0619,note,2025-12-15,Can we schedule a call sometime next week?
A00351,D0472,Follow Up,2026-02-27,"This is taking longer than expected, we need an update ASAP."
A00352,D0797,note,2026-01-17,
A00353,D0337,Call,30/04/2026,"Thanks so much for the quick turnaround, this looks great!"
A00354,D0260,Meeting,05-05-2026,Can we schedule a call sometime next week?
A00355,D0457,call,23-04-2026,"  Great call today, looking forward to next steps.   "
A00356,D0561,Meeting,11-05-2026,"Great call today, looking forward to next steps."
A00357,D0342,Meeting,07/15/2026,Can we schedule a call sometime next week?
A00358,D0740,Call,06-07-2026,"Not happy with the delay, please escalate."
A00359,D0208,meeting,27/11/2025,Can we schedule a call sometime next week?
A00360,D0371,EMAIL,24-11-2025,"thanks so much for the quick turnaround, this looks great!"
A00361,D0519,follow-up,2026/06/17,we may have to look at other vendors if this isn't resolved.
A00362,D0078,email,2025/11/25,"This is taking longer than expected, we need an update ASAP."
A00363,D0349,follow-up,11/05/2025,"this is taking longer than expected, we need an update asap."
A00364,D0835,meeting,2026-07-13,Can we schedule a call sometime next week?
A00365,D0042,email,28-11-2025,"Thanks so much for the quick turnaround, this looks great!"
A00366,D0225,email,24/05/2026,following up on our last conversation regarding pricing.
A00367,D0022,Follow Up,20/04/2026,"This is taking longer than expected, we need an update ASAP."
A00368,D0197,note,2026/03/29,"This is taking longer than expected, we need an update ASAP."
A00369,D0397,meeting,22-04-2026,Please find attached the requested documents.
A00370,D0241,Meeting,2026-03-18,"Great call today, looking forward to next steps."
A00371,D0720,email,2026/06/09,"GREAT CALL TODAY, LOOKING FORWARD TO NEXT STEPS."
A00372,D0520,,2026-05-02,Following up on our last conversation regarding pricing.
A00373,D0661,follow-up,06/21/2026,"Not happy with the delay, please escalate."
A00374,D0472,Follow Up,2025/12/28,"THIS IS TAKING LONGER THAN EXPECTED, WE NEED AN UPDATE ASAP."
A00375,D0023,follow-up,2026-06-01,Can we schedule a call sometime next week?
A00376,D0066,Meeting,N/A,Please find attached the requested documents.
A00377,D0746,call,01/12/2025,"This is taking longer than expected, we need an update ASAP."
A00378,D0406,email,23-06-2026,We may have to look at other vendors if this isn't resolved.
A00379,D0239,Follow Up,2026/07/18,"this is taking longer than expected, we need an update asap."
A00380,D0698,Follow Up,2026-02-04,"Thanks so much for the quick turnaround, this looks great!"
A00381,D0123,Call,2026/06/05,"This is taking longer than expected, we need an update ASAP."
