activity_id,deal_id,activity_type,activity_date,notes,orphaned_deal
A00041,D0850,follow_up,2026-07-13,"Thanks so much for the quick turnaround, this looks great!",False
A00042,D0739,meeting,,"Not happy with the delay, please escalate.",False
A00043,D0788,follow_up,2025-12-28,"Not happy with the delay, please escalate.",False
A00044,D0136,call,,"Really appreciate the detailed proposal, excited to move forward.",False
A00045,D0303,meeting,,Please find attached the requested documents.,False
A00046,D0802,follow_up,,Please find attached the requested documents.,False
A00047,D0271,email,2026-10-05,,False
A00048,D0368,unknown,,Following up on our last conversation regarding pricing.,False
A00049,D0082,meeting,,Can we schedule a call sometime next week?,False
A00050,D0265,meeting,2026-05-10,"Great call today, looking forward to next steps.",False
A00051,D0893,follow_up,,"Really appreciate the detailed proposal, excited to move forward.",False
A00052,D0519,unknown,,,False
A00053,D0732,meeting,,,False
A00054,D0241,meeting,,,False
A00055,D0209,meeting,2026-03-11,"Really appreciate the detailed proposal, excited to move forward.",False
A00056,D0147,call,,Can we schedule a call sometime next week?,False
A00057,D0384,unknown,,,False
A00058,D0154,follow_up,,Following up on our last conversation regarding pricing.,False
A00059,D0800,follow_up,,Following up on our last conversation regarding pricing.,False
A00060,D0673,email,2026-06-01,"Really appreciate the detailed proposal, excited to move forward.",False
A00061,D0579,follow_up,,"This is taking longer than expected, we need an update ASAP.",False
A00062,D0900,follow_up,,"Not happy with the delay, please escalate.",False
A00063,D0325,meeting,,Please find attached the requested documents.,False
A00064,D0819,meeting,,"Really appreciate the detailed proposal, excited to move forward.",False
A00065,D0661,note,,We may have to look at other vendors if this isn't resolved.,False
A00066,D0670,unknown,2025-12-08,"This is taking longer than expected, we need an update ASAP.",False
A00067,D0129,follow_up,2026-03-24,"Great call today, looking forward to next steps.",False
A00068,D0350,meeting,2026-07-18,"This is taking longer than expected, we need an update ASAP.",False
A00069,D0507,email,2026-03-09,"thanks so much for the quick turnaround, this looks great!",False
A00070,D0784,follow_up,2026-05-17,,False
A00071,D0442,call,2026-02-03,"Great call today, looking forward to next steps.",False
A00072,D0398,note,2026-04-26,We may have to look at other vendors if this isn't resolved.,False
A00073,D0345,meeting,,,False
A00074,D0757,meeting,2025-12-01,"Not happy with the delay, please escalate.",False
A00075,D0776,unknown,,We may have to look at other vendors if this isn't resolved.,False
A00076,D0608,follow_up,2026-04-25,"This is taking longer than expected, we need an update ASAP.",False
A00077,D0740,follow_up,,Following up on our last conversation regarding pricing.,False
A00078,D0578,follow_up,,We may have to look at other vendors if this isn't resolved.,False
A00079,D0331,note,,"Great call today, looking forward to next steps.",False
A00080,D0386,email,,Can we schedule a call sometime next week?,False
A00081,D0122,meeting,2026-02-24,Following up on our last conversation regarding pricing.,False
A00082,D0266,follow_up,,please find attached the requested documents.,False
A00083,D0859,follow_up,2026-04-03,"Thanks so much for the quick turnaround, this looks great!",False
A00084,D0819,email,,"Thanks so much for the quick turnaround, this looks great!",False
A00085,D0585,note,,"Great call today, looking forward to next steps.",False
A00086,D0113,call,2026-04-06,"Not happy with the delay, please escalate.",False
A00087,D0286,call,,Following up on our last conversation regarding pricing.,False
A00088,D0520,meeting,,"Really appreciate the detailed proposal, excited to move forward.",False
A00089,D0040,note,,can we schedule a call sometime next week?,False
A00090,D0858,call,,following up on our last conversation regarding pricing.,False
A00091,D0226,email,,"Not happy with the delay, please escalate.",False
A00092,D0290,email,2026-11-02,We may have to look at other vendors if this isn't resolved.,False
A00093,D0004,note,,We may have to look at other vendors if this isn't resolved.,False
A00094,D0040,note,,"This is taking longer than expected, we need an update ASAP.",False
A00095,D0358,unknown,,Please find attached the requested documents.,False
A00096,D0685,unknown,2025-11-15,Can we schedule a call sometime next week?,False
A00097,D0225,call,,"This is taking longer than expected, we need an update ASAP.",False
A00098,D0679,note,2026-06-13,Can we schedule a call sometime next week?,False
A00099,D0408,email,2026-07-25,"Not happy with the delay, please escalate.",False
A00100,D0030,meeting,,"This is taking longer than expected, we need an update asap.",False
A00101,D0268,meeting,2025-11-21,"This is taking longer than expected, we need an update ASAP.",False
A00102,D0275,unknown,,"Thanks so much for the quick turnaround, this looks great!",False
A00103,D0587,email,2026-11-03,can we schedule a call sometime next week?,False
A00104,D0740,call,,Can we schedule a call sometime next week?,False
A00105,D0567,call,,Following up on our last conversation regarding pricing.,False
A00106,D0161,follow_up,2026-12-02,Please find attached the requested documents.,False
A00107,D0340,note,,,False
A00108,D0540,call,2026-02-10,"thanks so much for the quick turnaround, this looks great!",False
A00109,D0236,email,,"Really appreciate the detailed proposal, excited to move forward.",False
A00110,D0411,email,,"Really appreciate the detailed proposal, excited to move forward.",False
A00111,D0721,note,,We may have to look at other vendors if this isn't resolved.,False
A00112,D0754,follow_up,2026-07-02,Please find attached the requested documents.,False
A00113,D0762,call,2026-06-01,Following up on our last conversation regarding pricing.,False
A00114,D0591,unknown,2026-01-31,"Really appreciate the detailed proposal, excited to move forward.",False
A00115,D0286,unknown,,,False
A00116,D0509,note,,"Really appreciate the detailed proposal, excited to move forward.",False
A00117,D0026,note,2025-11-29,Can we schedule a call sometime next week?,False
A00118,D0319,meeting,,"Really appreciate the detailed proposal, excited to move forward.",False
A00119,D0502,follow_up,2025-03-11,"This is taking longer than expected, we need an update ASAP.",False
A00120,D0741,follow_up,2026-07-07,"Not happy with the delay, please escalate.",False
A00121,D0346,email,,"This is taking longer than expected, we need an update ASAP.",False
A00122,D0215,follow_up,,"Not happy with the delay, please escalate.",False
A00123,D0330,unknown,,We may have to look at other vendors if this isn't resolved.,False
A00124,D0084,call,2026-05-01,,False
A00125,D0533,call,2025-11-23,"Really appreciate the detailed proposal, excited to move forward.",False
A00126,D0175,follow_up,,"This is taking longer than expected, we need an update ASAP.",False
A00127,D0446,meeting,,We may have to look at other vendors if this isn't resolved.,False
A00128,D0578,email,,Following up on our last conversation regarding pricing.,False
A00129,D0381,follow_up,2026-03-13,"Not happy with the delay, please escalate.",False
A00130,D0765,email,2025-11-13,"Thanks so much for the quick turnaround, this looks great!",False
A00131,D0482,call,,Please find attached the requested documents.,False
A00132,D0097,follow_up,,"Thanks so much for the quick turnaround, this looks great!",False
A00133,D0069,meeting,,Can we schedule a call sometime next week?,False
A00134,D0282,meeting,2026-05-25,Please find attached the requested documents.,False
A00135,D0261,follow_up,,"Really appreciate the detailed proposal, excited to move forward.",False
A00136,D0222,meeting,,"really appreciate the detailed proposal, excited to move forward.",False
A00137,D0661,note,,Please find attached the requested documents.,False
A00138,D0631,unknown,,,False
A00139,D0823,follow_up,2026-05-02,"Not happy with the delay, please escalate.",False
A00140,D0332,call,2025-12-06,"This is taking longer than expected, we need an update ASAP.",False
A00141,D0513,call,2026-05-04,"This is taking longer than expected, we need an update ASAP.",False
A00142,D0364,meeting,,We may have to look at other vendors if this isn't resolved.,False
A00143,D0220,email,,"Great call today, looking forward to next steps.",False
A00144,D0502,meeting,,"This is taking longer than expected, we need an update ASAP.",False
A00145,D0887,meeting,,"This is taking longer than expected, we need an update ASAP.",False
A00146,D0196,note,,Following up on our last conversation regarding pricing.,False
A00147,D0006,follow_up,2025-07-11,Can we schedule a call sometime next week?,False
A00148,D0014,follow_up,,"Not happy with the delay, please escalate.",False
A00149,D0722,meeting,2026-11-03,"Thanks so much for the quick turnaround, this looks great!",False
A00150,D0623,unknown,2026-06-26,,False
A00151,D0030,follow_up,2025-10-11,"Great call today, looking forward to next steps.",False
A00152,D0430,call,,"Thanks so much for the quick turnaround, this looks great!",False
A00153,D0285,email,2026-06-05,Can we schedule a call sometime next week?,False
A00154,D0325,email,,Can we schedule a call sometime next week?,False
A00155,D0413,note,,"really appreciate the detailed proposal, excited to move forward.",False
A00156,D0152,meeting,2026-07-19,"Thanks so much for the quick turnaround, this looks great!",False
A00157,D0518,note,2026-02-01,Please find attached the requested documents.,False
A00158,D0350,unknown,,"Not happy with the delay, please escalate.",False
A00159,D0187,call,,"Thanks so much for the quick turnaround, this looks great!",False
A00160,D0223,meeting,2025-09-12,Please find attached the requested documents.,False
A00161,D0886,email,,Please find attached the requested documents.,False
A00162,D0183,meeting,,"This is taking longer than expected, we need an update ASAP.",False
A00163,D0484,email,,Please find attached the requested documents.,False
A00164,D0502,meeting,,We may have to look at other vendors if this isn't resolved.,False
A00165,D0852,email,,"this is taking longer than expected, we need an update asap.",False
A00166,D0720,note,,Following up on our last conversation regarding pricing.,False
A00167,D0565,meeting,,Please find attached the requested documents.,False
A00168,D0119,follow_up,2026-03-03,"not happy with the delay, please escalate.",False
A00169,D0382,follow_up,,"Thanks so much for the quick turnaround, this looks great!",False
A00170,D0368,call,2026-01-19,Can we schedule a call sometime next week?,False
A00171,D0192,meeting,2026-04-20,,False
A00172,D0829,follow_up,,"This is taking longer than expected, we need an update ASAP.",False
A00173,D0250,meeting,,Can we schedule a call sometime next week?,False
A00174,D0042,email,,"Really appreciate the detailed proposal, excited to move forward.",False
A00175,D0592,note,2026-06-05,we may have to look at other vendors if this isn't resolved.,False
A00176,D0612,follow_up,,"great call today, looking forward to next steps.",False
A00177,D0056,call,,Can we schedule a call sometime next week?,False
A00178,D0001,email,,Please find attached the requested documents.,False
A00179,D0879,email,,"Great call today, looking forward to next steps.",False
A00180,D0384,call,,"Really appreciate the detailed proposal, excited to move forward.",False
A00181,D0716,email,2026-07-30,"Not happy with the delay, please escalate.",False
A00182,D0099,note,,"This is taking longer than expected, we need an update ASAP.",False
A00183,D0840,note,,"Really appreciate the detailed proposal, excited to move forward.",False
A00184,D0601,call,,"Great call today, looking forward to next steps.",False
A00185,D0349,follow_up,,"This is taking longer than expected, we need an update ASAP.",False
A00186,D0142,unknown,,Please find attached the requested documents.,False
A00187,D0670,email,,Please find attached the requested documents.,False
A00188,D0036,meeting,2026-07-03,"great call today, looking forward to next steps.",False
A00189,D0855,call,,Can we schedule a call sometime next week?,False
A00190,D0884,note,2026-05-03,"Great call today, looking forward to next steps.",False
A00191,D0394,unknown,,,False
A00192,D0436,meeting,,"Not happy with the delay, please escalate.",False
A00193,D0730,meeting,,"Really appreciate the detailed proposal, excited to move forward.",False
A00194,D0545,note,2026-07-04,"Great call today, looking forward to next steps.",False
A00195,D0725,follow_up,,"Not happy with the delay, please escalate.",False
A00196,D0041,call,2025-11-20,Can we schedule a call sometime next week?,False
A00197,D0379,meeting,,"Thanks so much for the quick turnaround, this looks great!",False
A00198,D0366,note,,,False
A00199,D0115,meeting,,,False
A00200,D0097,email,2026-07-26,"This is taking longer than expected, we need an update ASAP.",False
A00201,D0470,follow_up,,"Not happy with the delay, please escalate.",False
A00202,D0040,email,2026-01-03,"This is taking longer than expected, we need an update ASAP.",False
A00203,D0346,meeting,2026-11-07,"Great call today, looking forward to next steps.",False
A00204,D0669,call,2026-07-15,"Really appreciate the detailed proposal, excited to move forward.",False
A00205,D0311,follow_up,,"Thanks so much for the quick turnaround, this looks great!",False
A00206,D0779,note,,,False
A00207,D0409,email,,,False
A00208,D0425,email,2026-01-18,Can we schedule a call sometime next week?,False
A00209,D0727,meeting,,Please find attached the requested documents.,False
A00210,D0472,follow_up,,Can we schedule a call sometime next week?,False
A00211,D0572,call,,Can we schedule a call sometime next week?,False
A00212,D0875,unknown,2026-01-03,,False
A00213,D0873,follow_up,2026-03-20,,False
A00214,D0766,follow_up,,Can we schedule a call sometime next week?,False
A00215,D0160,follow_up,,Can we schedule a call sometime next week?,False
A00216,D0784,call,,We may have to look at other vendors if this isn't resolved.,False
A00217,D0385,follow_up,,"Really appreciate the detailed proposal, excited to move forward.",False
A00218,D0114,follow_up,2026-03-03,"This is taking longer than expected, we need an update ASAP.",False
A00219,D0223,note,,Can we schedule a call sometime next week?,False
A00220,D0681,meeting,,"This is taking longer than expected, we need an update ASAP.",False
A00221,D0775,unknown,2025-11-12,"Great call today, looking forward to next steps.",False
A00222,D0296,call,,"Not happy with the delay, please escalate.",False
A00223,D0101,note,2025-11-16,"This is taking longer than expected, we need an update ASAP.",False
A00224,D0634,email,,We may have to look at other vendors if this isn't resolved.,False
A00225,D0750,note,,following up on our last conversation regarding pricing.,False
A00226,D0701,call,2026-03-04,"This is taking longer than expected, we need an update ASAP.",False
A00227,D0871,email,2025-12-12,"Great call today, looking forward to next steps.",False
A00228,D0205,meeting,,"Thanks so much for the quick turnaround, this looks great!",False
A00229,D0251,follow_up,2026-11-02,"Great call today, looking forward to next steps.",False
A00230,D0114,follow_up,2026-05-04,Following up on our last conversation regarding pricing.,False
A00231,D0008,call,2026-06-22,We may have to look at other vendors if this isn't resolved.,False
A00232,D0073,note,,"Really appreciate the detailed proposal, excited to move forward.",False
A00233,D0547,call,,Please find attached the requested documents.,False
A00234,D0743,call,,"Not happy with the delay, please escalate.",False
A00235,D0150,meeting,,"Really appreciate the detailed proposal, excited to move forward.",False
A00236,D0673,meeting,2026-08-03,,False
A00237,D0658,call,2026-03-27,Following up on our last conversation regarding pricing.,False
A00238,D0706,unknown,2026-06-12,Please find attached the requested documents.,False
A00239,D0780,email,,"Thanks so much for the quick turnaround, this looks great!",False
A00240,D0372,meeting,,Please find attached the requested documents.,False
A00241,D0302,email,,"Great call today, looking forward to next steps.",False
A00242,D0264,email,,Following up on our last conversation regarding pricing.,False
A00243,D0013,meeting,,We may have to look at other vendors if this isn't resolved.,False
A00244,D0175,meeting,,We may have to look at other vendors if this isn't resolved.,False
A00245,D0887,unknown,,"not happy with the delay, please escalate.",False
A00246,D0015,call,,Following up on our last conversation regarding pricing.,False
A00247,D0797,call,,"Not happy with the delay, please escalate.",False
A00248,D0013,follow_up,,Can we schedule a call sometime next week?,False
A00249,D0102,meeting,,We may have to look at other vendors if this isn't resolved.,False
A00250,D0551,call,,"Not happy with the delay, please escalate.",False
A00251,D0263,email,2025-01-12,Following up on our last conversation regarding pricing.,False
A00252,D0042,follow_up,,"Really appreciate the detailed proposal, excited to move forward.",False
A00253,D0066,email,,Following up on our last conversation regarding pricing.,False
A00254,D0596,unknown,,"Thanks so much for the quick turnaround, this looks great!",False
A00255,D0202,unknown,2025-10-12,"not happy with the delay, please escalate.",False
A00256,D0221,follow_up,,"Thanks so much for the quick turnaround, this looks great!",False
A00257,D0115,unknown,2026-05-04,"Not happy with the delay, please escalate.",False
A00258,D0417,follow_up,,Can we schedule a call sometime next week?,False
A00259,D0661,meeting,,Following up on our last conversation regarding pricing.,False
A00260,D0516,meeting,,"Great call today, looking forward to next steps.",False
A00261,D0522,unknown,2026-09-06,"Really appreciate the detailed proposal, excited to move forward.",False
A00262,D0097,unknown,,"great call today, looking forward to next steps.",False
A00263,D0238,email,,Can we schedule a call sometime next week?,False
A00264,D0702,meeting,,"Great call today, looking forward to next steps.",False
A00265,D0406,email,,"Great call today, looking forward to next steps.",False
A00266,D0486,follow_up,,Following up on our last conversation regarding pricing.,False
A00267,D0877,meeting,,Can we schedule a call sometime next week?,False
A00268,D0323,unknown,,,False
A00269,D0414,call,,"Great call today, looking forward to next steps.",False
A00270,D0020,email,,,False
A00271,D0438,note,,Following up on our last conversation regarding pricing.,False
A00272,D0451,meeting,,"Great call today, looking forward to next steps.",False
A00273,D0739,follow_up,,"This is taking longer than expected, we need an update ASAP.",False
A00274,D0499,email,,,False
A00275,D0351,meeting,2026-03-04,please find attached the requested documents.,False
A00276,D0768,call,2026-02-23,"Great call today, looking forward to next steps.",False
A00277,D0588,email,2025-12-29,Following up on our last conversation regarding pricing.,False
A00278,D0677,meeting,,"thanks so much for the quick turnaround, this looks great!",False
A00279,D0892,meeting,,"Not happy with the delay, please escalate.",False
A00280,D0329,unknown,,can we schedule a call sometime next week?,False
A00281,D0266,meeting,2026-03-07,"great call today, looking forward to next steps.",False
A00282,D0406,unknown,,"Thanks so much for the quick turnaround, this looks great!",False
A00283,D0017,follow_up,,We may have to look at other vendors if this isn't resolved.,False
A00284,D0552,unknown,,"Really appreciate the detailed proposal, excited to move forward.",False
A00285,D0572,call,,"Really appreciate the detailed proposal, excited to move forward.",False
A00286,D0666,email,2026-07-16,Please find attached the requested documents.,False
A00287,D0757,email,2026-12-03,"Great call today, looking forward to next steps.",False
A00288,D0541,note,2026-03-27,Please find attached the requested documents.,False
A00289,D0020,call,2026-06-03,"Great call today, looking forward to next steps.",False
A00290,D0691,meeting,,Can we schedule a call sometime next week?,False
A00291,D0591,email,,Following up on our last conversation regarding pricing.,False
A00292,D0547,follow_up,2026-08-07,"Great call today, looking forward to next steps.",False
A00293,D0336,meeting,2026-05-04,Following up on our last conversation regarding pricing.,False
A00294,D0278,email,,Can we schedule a call sometime next week?,False
A00295,D0451,call,2026-04-03,"Thanks so much for the quick turnaround, this looks great!",False
A00296,D0758,email,2026-07-03,"Not happy with the delay, please escalate.",False
A00297,D0390,follow_up,,"Great call today, looking forward to next steps.",False
A00298,D0529,call,,"Really appreciate the detailed proposal, excited to move forward.",False
A00299,D0367,meeting,2026-07-04,"Really appreciate the detailed proposal, excited to move forward.",False
A00300,D0262,follow_up,2025-12-10,"Thanks so much for the quick turnaround, this looks great!",False
A00301,D0410,call,,"Really appreciate the detailed proposal, excited to move forward.",False
A00302,D0308,email,,,False
A00303,D0282,meeting,,,False
A00304,D0532,email,2026-06-14,"Thanks so much for the quick turnaround, this looks great!",False
A00305,D0888,meeting,2026-05-20,"Great call today, looking forward to next steps.",False
A00306,D0532,email,2025-04-11,Can we schedule a call sometime next week?,False
A00307,D0167,call,,"This is taking longer than expected, we need an update ASAP.",False
A00308,D0272,follow_up,,Can we schedule a call sometime next week?,False
A00309,D0753,email,,We may have to look at other vendors if this isn't resolved.,False
A00310,D0538,email,,,False
A00311,D0068,call,2026-06-05,"This is taking longer than expected, we need an update ASAP.",False
A00312,D0138,follow_up,2026-04-05,Please find attached the requested documents.,False
A00313,D0264,email,,Can we schedule a call sometime next week?,False
A00314,D0099,unknown,,following up on our last conversation regarding pricing.,False
A00315,D0825,email,,"Really appreciate the detailed proposal, excited to move forward.",False
A00316,D0630,call,,"Great call today, looking forward to next steps.",False
A00317,D0728,unknown,,We may have to look at other vendors if this isn't resolved.,False
A00318,D0779,email,,"Great call today, looking forward to next steps.",False
A00319,D0036,note,,"Great call today, looking forward to next steps.",False
A00320,D0856,email,,"Thanks so much for the quick turnaround, this looks great!",False
A00321,D0353,email,,"This is taking longer than expected, we need an update ASAP.",False
A00322,D0637,meeting,,Please find attached the requested documents.,False
A00323,D0346,meeting,,Please find attached the requested documents.,False
A00324,D0791,follow_up,2026-10-05,Can we schedule a call sometime next week?,False
A00325,D0801,meeting,,we may have to look at other vendors if this isn't resolved.,False
A00326,D0469,call,,"Great call today, looking forward to next steps.",False
A00327,D0447,follow_up,,we may have to look at other vendors if this isn't resolved.,False
A00328,D0675,follow_up,,"thanks so much for the quick turnaround, this looks great!",False
A00329,D0539,follow_up,,We may have to look at other vendors if this isn't resolved.,False
A00330,D0372,follow_up,,"Great call today, looking forward to next steps.",False
A00331,D0170,follow_up,,We may have to look at other vendors if this isn't resolved.,False
A00332,D0879,email,2026-02-09,Please find attached the requested documents.,False
A00333,D0432,unknown,2026-08-02,Please find attached the requested documents.,False
A00334,D0570,meeting,,"Really appreciate the detailed proposal, excited to move forward.",False
A00335,D0148,unknown,,"This is taking longer than expected, we need an update ASAP.",False
A00336,D0401,follow_up,,"Really appreciate the detailed proposal, excited to move forward.",False
A00337,D0144,note,,"Great call today, looking forward to next steps.",False
A00338,D0283,meeting,,"Really appreciate the detailed proposal, excited to move forward.",False
A00339,D0791,follow_up,2026-08-01,Please find attached the requested documents.,False
A00340,D0625,unknown,,,False
A00341,D0859,meeting,2026-02-04,"This is taking longer than expected, we need an update ASAP.",False
A00342,D0709,unknown,,we may have to look at other vendors if this isn't resolved.,False
A00343,D0618,follow_up,,"Not happy with the delay, please escalate.",False
A00344,D0432,call,,Please find attached the requested documents.,False
A00345,D0337,note,,Can we schedule a call sometime next week?,False
A00346,D0826,unknown,2026-07-12,Following up on our last conversation regarding pricing.,False
A00347,D0107,unknown,,"This is taking longer than expected, we need an update ASAP.",False
A00348,D0684,note,,"Really appreciate the detailed proposal, excited to move forward.",False
A00349,D0101,follow_up,,Can we schedule a call sometime next week?,False
A00350,D0619,note,,Can we schedule a call sometime next week?,False
A00351,D0472,follow_up,,"This is taking longer than expected, we need an update ASAP.",False
A00352,D0797,note,,,False
A00353,D0337,call,2026-04-30,"Thanks so much for the quick turnaround, this looks great!",False
A00354,D0260,meeting,,Can we schedule a call sometime next week?,False
A00355,D0457,call,,"Great call today, looking forward to next steps.",False
A00356,D0561,meeting,,"Great call today, looking forward to next steps.",False
A00357,D0342,meeting,,Can we schedule a call sometime next week?,False
A00358,D0740,call,,"Not happy with the delay, please escalate.",False
A00359,D0208,meeting,2025-11-27,Can we schedule a call sometime next week?,False
A00360,D0371,email,,"thanks so much for the quick turnaround, this looks great!",False
A00361,D0519,follow_up,,we may have to look at other vendors if this isn't resolved.,False
A00362,D0078,email,,"This is taking longer than expected, we need an update ASAP.",False
A00363,D0349,follow_up,2025-05-11,"this is taking longer than expected, we need an update asap.",False
A00364,D0835,meeting,,Can we schedule a call sometime next week?,False
A00365,D0042,email,,"Thanks so much for the quick turnaround, this looks great!",False
A00366,D0225,email,2026-05-24,following up on our last conversation regarding pricing.,False
A00367,D0022,follow_up,2026-04-20,"This is taking longer than expected, we need an update ASAP.",False
A00368,D0197,note,,"This is taking longer than expected, we need an update ASAP.",False
A00369,D0397,meeting,,Please find attached the requested documents.,False
A00370,D0241,meeting,,"Great call today, looking forward to next steps.",False
A00371,D0720,email,,"Great call today, looking forward to next steps.",False
A00372,D0520,unknown,2026-02-05,Following up on our last conversation regarding pricing.,False
A00373,D0661,follow_up,,"Not happy with the delay, please escalate.",False
A00374,D0472,follow_up,,"This is taking longer than expected, we need an update asap.",False
A00375,D0023,follow_up,2026-01-06,Can we schedule a call sometime next week?,False
A00376,D0066,meeting,,Please find attached the requested documents.,False
A00377,D0746,call,2025-12-01,"This is taking longer than expected, we need an update ASAP.",False
A00378,D0406,email,,We may have to look at other vendors if this isn't resolved.,False
A00379,D0239,follow_up,,"this is taking longer than expected, we need an update asap.",False
A00380,D0698,follow_up,2026-04-02,"Thanks so much for the quick turnaround, this looks great!",False
A00381,D0123,call,,"This is taking longer than expected, we need an update ASAP.",False
A00382,D0255,follow_up,2026-07-03,"Great call today, looking forward to next steps.",False
A00383,D0747,call,2026-07-07,"This is taking longer than expected, we need an update ASAP.",False
A00384,D0397,note,2026-04-26,"Great call today, looking forward to next steps.",False
A00385,D0319,meeting,2026-06-03,Please find attached the requested documents.,False
A00386,D0412,email,,,False
A00387,D0264,call,,We may have to look at other vendors if this isn't resolved.,False
A00388,D0173,call,,"Thanks so much for the quick turnaround, this looks great!",False
A00389,D0029,follow_up,,"great call today, looking forward to next steps.",False
A00390,D0187,follow_up,,"Really appreciate the detailed proposal, excited to move forward.",False
A00391,D0615,meeting,2026-04-29,"Great call today, looking forward to next steps.",False
A00392,D0456,call,,"Really appreciate the detailed proposal, excited to move forward.",False
A00393,D0299,call,2026-05-07,,False
A00394,D0198,follow_up,,Can we schedule a call sometime next week?,False
A00395,D0562,note,2026-03-05,We may have to look at other vendors if this isn't resolved.,False
A00396,D0145,email,2025-11-01,,False
A00397,D0061,unknown,,,False
A00398,D0671,meeting,,We may have to look at other vendors if this isn't resolved.,False
A00399,D0659,email,2025-07-11,"Not happy with the delay, please escalate.",False
A00400,D0642,note,2026-06-04,"Really appreciate the detailed proposal, excited to move forward.",False
A00401,D0330,follow_up,2026-06-18,Please find attached the requested documents.,False
A00402,D0295,call,,Following up on our last conversation regarding pricing.,False
A00403,D0602,follow_up,,,False
A00404,D0311,note,,"Thanks so much for the quick turnaround, this looks great!",False
A00405,D0445,follow_up,,We may have to look at other vendors if this isn't resolved.,False
A00406,D0220,call,2026-06-04,,False
A00407,D0209,unknown,,"Thanks so much for the quick turnaround, this looks great!",False
A00408,D0706,call,2026-01-04,Following up on our last conversation regarding pricing.,False
A00409,D0339,email,,Can we schedule a call sometime next week?,False
A00410,D0160,email,,Please find attached the requested documents.,False
A00411,D0585,meeting,,"This is taking longer than expected, we need an update ASAP.",False
A00412,D0424,note,,,False
A00413,D0710,note,,"not happy with the delay, please escalate.",False
A00414,D0073,call,2026-02-26,"really appreciate the detailed proposal, excited to move forward.",False
A00415,D0758,meeting,2026-07-15,Please find attached the requested documents.,False
A00416,D0584,meeting,,"This is taking longer than expected, we need an update ASAP.",False
A00417,D0089,follow_up,,,False
A00418,D0491,call,,"this is taking longer than expected, we need an update asap.",False
A00419,D0826,call,,Can we schedule a call sometime next week?,False
A00420,D0612,call,,Following up on our last conversation regarding pricing.,False
A00421,D0045,follow_up,,"Great call today, looking forward to next steps.",False
A00422,D0180,meeting,,"This is taking longer than expected, we need an update ASAP.",False
A00423,D0518,call,2025-05-12,Can we schedule a call sometime next week?,False
A00424,D0893,unknown,,Following up on our last conversation regarding pricing.,False
A00425,D0165,email,,,False
A00426,D0531,follow_up,,"Great call today, looking forward to next steps.",False
A00427,D0040,email,,"Thanks so much for the quick turnaround, this looks great!",False
A00428,D0834,note,2026-09-07,,False
A00429,D0559,call,,"Not happy with the delay, please escalate.",False
